,Name,Vopt,g-z,gMAG,M*,sSFR,rms,VHI,W50,FHI,S/N,MHI
0,KUG0007+140,5452,0.93,-18.81,9.5,-10.17,0.45,5456,189,5456,15.4,8.93
1,2MASXJ00150533+1503597,5428,1.37,-19.15,10.0,-10.55,0.53,5436,81,5436,10.2,8.63
2,ASK147494,5432,0.39,-16.55,8.21,-9.54,0.17,5445,65,5445,4.7,7.77
3,ASK43581,4860,0.39,-16.52,6.14,-8.70,0.57,4860,120,4860,16.9,8.87
4,ASK037212,1587,0.24,-14.16,7.19,-9.59,0.17,1579,26,1579,12.4,6.91
5,PGC1162351,2779,0.61,-15.67,7.94,-9.52,0.54,2793,34,2793,10.7,7.9
6,ASK37834,3011,0.47,-15.60,7.74,-9.43,0.58,3030,79,3030,15.4,8.33
7,ASK44962,3902,0.42,-16.86,8.23,-9.48,0.81,3887,86,3887,17.1,8.76
8,ASK265000,2231,0.69,-14.88,7.73,-9.96,0.4,2242,49,2242,4.4,7.26
9,ASK363277,2104,0.56,-15.63,7.86,-9.52,0.5,2103,47,2103,21.8,7.99
10,ASK483519,3476,0.45,-16.28,7.94,-9.31,0.51,3487,56,3487,19.1,8.42
11,KUG0814+251,2074,0.61,-15.55,7.91,-9.58,0.36,2062,88,2062,14.0,7.77
12,ASK522849,2011,0.67,-14.19,7.49,-9.75,0.45,2024,43,2024,5.3,7.28
13,ASK259050,3127,0.20,-15.72,7.54,-8.93,0.46,3126,55,3126,13.3,8.12
14,ASK259104,2260,0.33,-15.48,7.6,-9.28,0.54,2254,50,2254,19.8,8.06
15,ASK281794,2116,0.40,-14.49,7.26,-9.29,0.5,2135,69,2135,8.2,7.66
16,PGC4176159,1614,0.02,-13.43,7.3,-10.72,0.36,1598,35,1598,7.9,7.11
17,ASK266943,2221,0.56,-14.82,7.21,-9.37,0.52,2219,44,2219,4.9,7.39
18,2MASXJ09085253+2155292,3849,0.66,-17.03,8.51,-9.63,0.59,3851,51,3851,13.8,8.41
19,ASK261057,1370,0.64,-14.37,,,0.32,1370,28,1370,4.3,6.6
20,ASK488350,1915,0.52,-14.23,7.35,-9.55,0.49,1920,63,1920,11.9,7.7
21,KUG0937+327,1293,0.44,-14.20,7.13,-9.32,0.51,1280,54,1280,8.5,7.19
22,KUG0943+320,1425,0.64,-14.40,7.47,-9.70,0.47,1424,59,1424,12.3,7.43
23,ASK491818,1316,0.51,-14.56,7.3,-9.37,0.85,1318,34,1318,6.6,7.22
