,Name,Vopt,g-z,gMAG,M*,sSFR,rms,VHI,W50,FHI,S/N,MHI
0,KUG2357+156,6000,0.97,-19.39,9.74,-9.96,1.38,6009,214,0.67,5.4,9.06
1,CGCG382-016,7396,1.11,-20.2,10.18,-10.15,2.65,7397,233,2.5,10.0,9.82
2,ASK146570,1714,-0.18,-14.79,6.76,-8.37,1.57,1705,40,0.26,4.3,7.56
3,CGCG433-016,6352,0.8,-19.61,9.57,-9.75,2.84,6365,117,1.75,9.3,9.53
4,PGC4567836,5131,0.72,-17.24,8.67,-9.77,2.37,5142,178,2.02,10.5,9.41
5,IC5381,11218,1.67,-21.62,11.31,-12.02,1.17,11228,700,2.55,13.2,10.19
6,NGC7814,1059,2.0,-19.1,,,2.18,1049,466,10.05,35.5,8.73
7,NGC7808,8865,1.46,-23.22,11.14,-11.57,3.33,8860,184,1.92,6.9,9.86
8,CGCG456-027,6418,1.04,-19.36,9.84,-9.99,2.54,6401,229,1.7,7.2,9.53
9,UGC0043,5274,0.87,-18.01,9.11,-9.92,1.74,5281,180,1.35,9.4,9.26
10,UGC0056,5421,0.87,-19.18,9.57,-10.68,2.78,5425,209,1.06,4.3,9.18
11,KUG0004+134,5378,0.3,-18.72,7.47,,2.49,5400,199,2.06,9.6,9.46
12,2MASXJ00083428-1056579,9099,1.37,-22.62,10.89,-12.3,2.85,9110,116,4.56,23.9,10.26
13,PGC4018118,1888,-0.18,-14.37,,,2.48,1913,96,2.02,13.8,8.55
14,2MASXJ00094023-1025027,5415,0.88,-18.86,9.12,-9.95,2.12,5391,105,0.48,3.6,8.82
15,ASK27589,4029,0.4,-16.39,7.85,-9.44,1.69,4030,41,0.18,2.8,8.16
16,ASK147670,1879,0.33,-14.28,7.27,-9.4,1.27,1870,40,0.2,4.1,7.53
17,UGC0119,2009,0.64,-18.14,,,2.91,2018,80,4.96,31.5,8.99
18,FGC5A,1961,0.37,-15.33,,,2.71,1939,131,2.7,14.4,8.69
19,UGC0139,3946,1.04,-20.56,9.91,-10.37,2.84,3956,294,13.58,45.8,10.01
20,UGC0148,4154,1.16,-20.08,6.65,-7.97,2.67,4202,312,5.82,20.2,9.69
21,ASK147806,4363,0.54,-16.94,8.26,-9.37,1.23,4390,114,0.41,5.1,8.58
22,ASK147996,5485,0.63,-17.88,9.17,,1.67,5541,128,0.73,6.3,9.03
23,ASK147978,4803,0.77,-17.55,8.79,-9.87,2.15,4790,176,1.45,8.3,9.2
24,2MASXJ00204857+1413283,5344,0.91,-18.34,9.31,-9.51,1.69,5352,55,0.31,4.0,8.63
25,2MASXJ00215111-0929321,6269,1.62,-21.52,10.6,-9.96,2.4,6263,311,1.55,6.0,9.47
26,ASK148034,4388,0.6,-16.34,8.1,-9.34,1.18,4370,33,0.11,2.7,8.02
27,ASK148040,5213,0.71,-17.35,8.68,-9.82,1.56,5205,122,0.5,4.7,8.81
28,UGC0219,5245,1.05,-19.1,9.73,-10.31,1.9,5228,278,3.56,18.4,9.67
29,PGC1467720,5300,0.7,-18.33,9.32,-9.68,2.37,5314,117,1.42,9.1,9.29
30,NGC0099,5308,0.81,-20.34,9.93,-9.91,2.76,5309,142,8.98,44.6,10.09
31,ASK147870,4269,0.17,-18.32,8.45,-8.81,1.48,4276,84,0.31,3.7,8.43
32,UGC0233,5276,1.01,-19.76,9.95,-10.27,2.26,5277,136,2.27,14.1,9.48
33,2MASXJ00252890-0848260,6313,0.98,-19.78,9.66,-10.1,2.12,6301,238,1.66,8.3,9.5
34,UGC0252,5350,0.84,-18.38,9.41,-11.96,2.75,5347,162,1.44,6.7,9.3
35,UGC0272,3898,0.77,-19.68,9.37,-10.09,2.62,3891,243,5.74,23.1,9.62
36,PGC3107905,4345,0.54,-17.39,8.31,-9.5,1.54,4316,121,0.43,4.2,8.59
37,PGC2816194,4543,0.64,-16.7,8.38,-9.61,3.06,4541,66,1.07,7.0,9.03
38,KUG0026-012,4000,0.38,-17.5,6.22,-8.85,1.33,4000,86,0.28,3.8,8.34
39,KUG0027+001,4151,0.64,-18.78,9.22,-9.79,2.19,4156,75,0.95,8.3,8.9
40,2MASXJ00300730-1106491,3527,1.37,-21.46,10.45,-11.32,2.65,3515,332,4.79,16.3,9.45
41,Mrk0951,5129,1.04,-20.45,9.85,-9.71,1.58,5145,217,1.85,13.0,9.37
42,2MASXJ00302984-0847002,5388,0.96,-21.0,10.01,-10.15,2.76,5357,271,3.42,12.3,9.67
43,2MASXJ00311327-1028518,3500,0.99,-20.61,6.64,-8.25,2.71,3589,233,11.26,44.8,9.85
44,ASK126658,3660,0.46,-16.89,8.06,-9.37,2.55,3570,278,8.08,31.4,9.7
45,ASK126660,3524,0.33,-15.89,7.78,-9.45,2.56,3571,232,6.42,27.1,9.6
46,SHOC020,3522,0.6,-16.69,7.71,-9.08,4.58,3546,113,4.89,16.5,9.45
47,2MASXJ00313571-1030228,3583,1.37,-20.77,8.6,,2.92,3525,246,11.93,42.8,9.85
48,ASK126851,3395,0.06,-15.68,7.7,-9.14,1.78,3389,67,0.59,6.7,8.52
49,ASK126629,3156,0.49,-16.18,7.81,-9.36,1.78,3155,111,0.74,6.5,8.55
50,2MASXJ00255246-0939427,3859,,-19.17,8.97,-9.91,2.24,3853,93,2.37,18.0,9.23
51,UGC0328,1989,0.78,-17.11,8.27,-10.37,2.69,1986,143,13.37,68.7,9.4
52,NGC0151,3732,1.73,-22.79,11.08,-11.74,2.69,3744,460,16.32,46.5,10.04
53,2MASXJ00345797-0920323,6942,1.37,-22.19,10.75,-11.85,1.83,6960,133,0.81,6.2,9.27
54,PGC986776,4078,0.75,-18.05,8.72,-9.86,2.12,4068,176,0.7,4.1,8.74
55,NGC0165,5889,1.35,-22.31,10.75,-10.75,2.52,5895,319,2.76,10.0,9.66
56,ASK126563,6032,0.44,-17.55,7.48,-9.95,2.46,6022,225,2.43,10.8,9.61
57,Mrk0954,5229,0.57,-20.25,9.58,-9.28,1.29,5228,93,1.2,15.8,9.2
58,2MASXJ00375747-0915092,5317,0.91,-21.6,,,2.7,5243,177,5.65,25.7,9.87
59,NGC0192,4177,1.62,-20.69,10.9,-10.7,2.64,4217,342,2.19,7.4,9.27
60,2MASXJ00392015-1028549,10895,1.6,-22.5,10.94,-10.54,2.36,10941,319,1.72,6.5,10.0
61,ASK127223,5755,0.09,-18.42,7.54,,1.86,5761,131,0.92,7.1,9.17
62,NGC0201,4380,1.04,-20.68,10.32,-10.35,1.48,4382,225,4.14,30.6,9.59
63,NGC0195,4894,1.51,-21.87,10.49,-10.21,2.68,4916,215,4.49,18.7,9.72
64,2MASXJ00393835+1439509,5219,1.71,-18.53,10.21,-10.39,1.31,5225,264,1.4,10.8,9.26
65,FGC0077,5059,1.33,-17.98,9.61,-10.52,2.18,5059,263,0.97,4.5,9.08
66,CGCG434-030,5269,0.82,-18.81,9.42,-9.83,1.55,5245,259,0.85,5.6,9.05
67,ASK30011,3989,0.8,-18.23,8.62,-10.6,1.71,3982,59,0.95,11.8,8.86
68,ASK127634,4035,0.89,-18.39,9.15,-11.95,1.76,3949,557,1.6,6.3,9.08
69,NGC0217,3932,1.62,-22.59,10.94,-12.78,1.51,3944,556,2.72,12.6,9.31
70,ASK30093,5416,0.61,-18.46,9.06,-9.66,2.13,5350,267,2.09,9.9,9.46
71,NGC0237,4172,1.2,-21.46,,,3.13,4161,290,2.58,7.9,9.33
72,NGC0234,4445,1.25,-21.13,10.62,-10.39,2.31,4450,202,3.35,16.7,9.5
73,UGC0466,5437,0.95,-19.79,9.87,-10.34,2.65,5454,232,3.38,13.7,9.69
74,ASK127769,6002,0.48,-17.76,,,1.66,5993,60,0.4,5.1,8.84
75,PGC1454298,4192,0.51,-16.42,8.15,-9.53,2.46,4173,79,0.56,4.2,8.67
76,ASK127560,4103,0.51,-17.21,8.29,-9.55,1.48,4096,131,1.03,10.0,8.92
77,2MASXJ00455191-0919409,6108,1.11,-21.06,10.16,-10.54,1.75,6103,160,2.06,15.2,9.57
78,SHOC30,3910,0.3,-16.09,7.6,-8.95,1.8,3893,378,1.18,5.6,8.94
79,ASK30486,4749,0.72,-18.26,8.89,-9.88,1.57,4764,188,0.78,6.0,8.93
80,2MASXJ00474641-0950063,5729,1.74,-22.18,10.89,-11.57,2.45,5655,190,1.55,7.5,9.37
81,UGCA14,1344,0.43,-17.44,8.25,-9.54,5.07,1345,133,13.18,37.4,9.06
82,PGC1002925,4389,0.14,-17.09,6.86,,1.26,4398,108,0.79,9.9,8.87
83,CGCG384-011,4600,1.52,-18.21,9.71,,2.8,4631,266,3.59,12.9,9.57
84,2MASXJ00502753-0843067,4525,0.68,-18.93,8.99,-9.69,1.4,4526,136,0.35,3.5,8.54
85,2MASXJ00511854-0901125,5696,1.55,-20.66,10.21,-10.5,1.72,5673,287,1.23,6.9,9.28
